,ObservationDate,actual,predict
146,2020-12-06,24888.0,151945.75
147,2020-12-06,368016.0,151462.98
148,2020-12-06,108088.0,159502.83
149,2020-12-06,705827.0,84695.14
150,2020-12-06,394990.0,219107.56
151,2020-12-06,82981.0,66895.24
152,2020-12-06,109.0,65577.74
153,2020-12-06,475024.0,45872.63
154,2020-12-06,216486.0,196038.84
155,2020-12-06,84496.0,67548.87
156,2020-12-06,423100.0,217377.22
157,2020-12-06,56671.0,182713.9
158,2020-12-06,0.0,48093.832
159,2020-12-06,62137.0,34025.438
160,2020-12-06,232099.0,54398.11
161,2020-12-06,85991.0,119946.85
162,2020-12-06,400594.0,219167.86
163,2020-12-06,1322738.0,177472.31
164,2020-12-06,215407.0,156500.4
165,2020-12-06,5015.0,60046.31
166,2020-12-06,1633.0,213192.02
167,2020-12-06,255053.0,30050.545
168,2020-12-06,177447.0,124147.87
169,2020-12-06,54997.0,193923.89
170,2020-12-06,441067.0,172742.72
171,2020-12-06,36218.0,183437.64
